*,姓交,sing3 gaau1
,嗲接,
,廣彩潔具,
,長洲電子,
,永坤電器,
,銀河華都,
,煙感,
1,木薯澱粉,muk6 syu4 din6 fan2
,上王裏,
1,半熟女人,
,僑昌,
,劉村大山,
,利義,
,逸龍齋,
,帥呆了,seoi3 ngoi4 liu5
,山陰縣,saan1 jam1 jyun6
1,臨牀經驗,lam4 cong4 ging1 jim6
,大貨版,
,懵居,
,榮興紡織,
,橋隴,
,二號閘,
,膕繩肌,gwok3 sing4 gei1
1,靛冠噪鶥,din6 gun3 cou3 mei4
,頻頻點頭,
,西城元崗,
,池記鐘錶,
1,四千蚊度,sei3 cin1 man1 dou2
,按錢,
,躺下牀,
,智源工具,
,東恆達,
,紅旺窗簾,
,黑過墨汁,
,巴香魚頭,
1,駕齡,gaa3 ling4
,衆邦貨運,
1,池仲柏,ci4 zung6 paak3
,案甲休兵,on3 gaap3 jau1 bing1
1,好攞命,
1,禮儀之邦,lai5 ji4 zi1 bong1
,比距,
,發報人,faat3 bou3 jan4
,聯合模型,
,自助燒烤,
,裕豐隆,
,青逸軒,
,劉村路口,
,救國新西,
,拗胡婆,aau1 wu1 po1
,大路口,
,漫華灑,
,騰飛通訊,
1,翻風落雨,faan1 fung1 lok6 jyu5
,源霸,
1,搞返個,
1,寶貝當家,
1,快過打針,faai3 gwo3 daa2 zam1
,珠娘,
,打掣,daa2 zai3
,金鷹體育,
,技措,
,振興路口,
,幾羣,
,泰盛菸酒,
,晏蒂,
,其美飲食,
,雞公欖,
,福潤福特,
1,儲位,cyu5 wai6
,培墩,
,來一串,
,烏龍閣,
,有乜搞,
,消磁,siu1 ci4
,臺海,toi4 hoi2
,莎拉林,
,煒燁地產,
,靈壽縣,ling4 sau6 jyun6
,光大廣告,
,杯酒言歡,bui1 zau2 jin4 fun1
,美井川,
,竣景地產,
,休閒快線,
,冇𪐀經,mou5 naa1 gaang1
,阿訇,aa3 gwang1
,代數方程,doi6 sou3 fong1 cing4
,富輿傢俬,
1,面黃黃,min6 wong4 wong4
,文毅,
1,醒瞓啲,
,春之軒,
,合力泰,
,裕利士多,
,茨仔,ci4 zai2
,升御門,
,同心地產,
,尉氏縣,wai3 si6 jyun6
1,有心冇神,jau5 sam1 mou5 san4
,波谷,bo1 guk1
1,積草屯糧,zik1 cou2 tyun4 loeng4
,原電,
,粥天下,
,卡迪土,
,多孔性,do1 hung2 sing3
1,衆星拱月,zung3 sing1 gung2 jyut6
,壽飯,sau6 faan6
,漁鉤兒,jyu4 ngau1 ji4
1,攪撚錯,gaau2 lan2 co3
,皖系軍閥,wun5 hai6 gwan1 fat6
,英力特,
,爌肉,kong3 juk6
,避惡,bei6 ok3
,維爾利斯,
,文軒茶業,
,太和區,taai3 wo4 keoi1
,且休,ce2 jau1
1,又喺啵,
,亞洲工程,
,訊霸貿易,
1,袋嘢,doi6 je5
,上潭,
,上下川,
,雄豐路口,
1,百煉鋼,baak3 lin6 gong3
,豪東美食,
,末名獎品,mut6 ming4 zoeng2 ban2
,明輝地產,
,金舫,
,石子嶺,
,白雲電器,
1,你講㗎,
,峻龍電器,
,招牌雕印,
,光鷄,
1,食滯咗,sik6 zai6 zo2
,新世界茶,
1,追住嚟,
,共話,gung6 waa6
,潮行天下,
,跨表,
,商水,soeng1 seoi2
,危若朝露,ngai4 joek6 ziu1 lou6
,壽板,sau6 baan2
,熊人婆,hung4 jan4 po4
,快信,faai3 seon3
,龍碑山,
,金聯豐,
,新地髮型,
,咩點,
1,幾點等,
,加拿大雁,gaa1 naa4 daai6 ngaan6
,宣道堂,
,駿龍貨運,
,評騭,ping4 zat1
,繼嗣,gai3 zi6
,戈比,gwo1 bei2
1,好叻咩,
,誠諾,
1,幫我同,
,紅蓮塘,
,批頭嶺,
,捧角,pung2 gok3
,偉榮飾品,
1,激奀咗佢,
,捱穀種,ngaai4 guk1 zung2
,凡記美食,
,意氣楓發,
,新苑園藝,
,精琢,
,從大舊貨,
,鶴亭新邨,
,金梳嶺,
1,屈親,wat1 can1
,順燁,
,豐禾田,
,西安裏,
,肥效,fei4 haau6
,永興燒臘,
,橘柑,gwat1 gam1
,麗雅人家,
,富貴名,
,雷日納,leoi4 jat6 naap6
,波鱲,bo1 laap6
,踏月,daap6 jyut6
,佰相伴,
,舉袖爲雲,
1,去邊蒲,
,娘胎,noeng4 toi1
,金盈豐茶,
1,過咗未,
,巴不能夠,baa1 bat1 nang4 gau3
,太多也,
,漚爛,
,佐卡伊,
,無謂人,
,脂粉氣,zi1 fan2 hei3
,麒麟鞋貿,
,毓婷,juk1 ting4
,匯基地產,
1,呢個嘢,ni1 go3 je5
,㞓吱,hai1 zi1
,及第粥,gap6 dai2 zuk1
,興華士多,
,顧地塑膠,
,湛沙,
,問杯,man6 bui1
,居仁,
,葵扇窩,
,森林燈飾,
1,服衆,fuk6 zung3
,溼衣,sap1 ji1
,精神狂亂,zing1 san4 kwong4 lyun6
1,萬死不辭,maan6 sei2 bat1 ci4
,怡盛裏,
,發行力,
,碧潭,bik1 taam4
,粵港學車,
,轉遊,zyun3 jau4
,徵實,zing1 sat6
,臺甫,toi4 fu2
,惠嫺,
,起鐘,hei2 zung1
,灌南,gun3 naam4
,東塘,
,江淮官話,gong1 waai4 gun1 waa2
,張易之,zoeng1 ji6 zi1
,永興美食,
,糴糧食,dek6 loeng4 sik6
,豆薯屬,dau6 syu4 suk6
,酸枝傢俬,
,翠玉閣,
,橫頭橫腦,waang4 tau4 waang4 nou5
,坪地貨運,
,暖閣,nyun5 gok3
,明新閣,
,柯元,
,綠悅,
,順隆美味,
,幸福小區,
,多句嘴,do1 geoi3 zeoi2
,殷都區,jan1 dou1 keoi1
,陵夷,ling4 ji4
,梅林關口,
,踏查,daap6 caa4
,冊府元龜,caak3 fu2 jyun4 gwai1
,三巴聖蹟,
,蒞任,lei6 jam6
,宏興包點,
,全度音,cyun4 dou6 jam1
,海記廣告,
,臺臺櫈櫈,
,新亮點,
,縝匝,can2 zaap3
,無房戶,
1,波蘭語,bo1 laan4 jyu5
,腦殘粉,nou5 caan4 fan2
,同福庵,
1,噉好啦,
1,居住者,geoi1 zyu6 ze2
,周炳陶瓷,
,官橋黃,
,半壁河山,bun3 bik1 ho4 saan1
,眷念,gyun3 nim6
,拖兒帶女,to1 ji4 daai3 neoi5
1,今年過年,
,火山礫,fo2 saan1 lik1
1,㩧落嚟,bok1 lok6 lai4
1,趷起條尾,gat6 hei2 tiu4 mei5
,錯綜,cok3 zung3
,金誠地產,
,戌狗,seot1 gau2
1,捽㷫,zeot1 hing3
,波萊羅,bo1 loi4 lo4
,石河子,sek6 ho4 zi2
,劉敏婦科,
,顧地,
,順順當當,
1,捉咿因,
,白馬尊邸,
,仁愛區,jan4 oi3 keoi1
,錦佳,
,大章翻譯,
,芝蘭臺,
,廣東欣安,
,東頭崗,
,詞訟費,ci4 zung6 fai3
,總開關,zung2 hoi1 gwaan1
,桃山飲食,
,差商,caa1 soeng1
1,鬼怕惡人,gwai2 paa3 ok3 jan4
,保康縣,bou2 hong1 jyun6
1,奠儀,din6 ji4
,藍縷,laam4 leoi5
,抵補,dai2 bou2
,時尚傢俬,
,恣意妄爲,zi3 ji3 mong5 wai4
,發麗閣,
1,㞓口㞓面,hai1 hau2 hai1 min6
1,蒙召,mung4 ziu6
1,排除異己,paai4 ceoi4 ji6 gei2
,度典,
,條路好掂,
,露水夫妻,lou6 seoi2 fu1 cai1
,康白度,hong1 baak6 dou6
,挑著,
,獅泉河,si1 cyun4 ho4
,紐襻,nau2 paan3
,鳥棲沙巖,
,觀潮閣,
,擴版,kwok3 baan2
,散束,saan2 cuk1
,樂鍋,
,草氏茶坊,
,久拖不辦,
,蝶趣新居,
,順達音像,
1,攋尿蝦,laai6 niu6 haa1
,開達路中,
,扒仔,paa3 zai2
,華洋印務,
,獷悍,gwong2 hon6
,抱趣堂,
,花朵圍,
,薄𣸛,bok6 soek3
,燈條,
,眉縣,mei4 jyun6
,不象話,bat1 zoeng6 waa6
,刁士,diu1 si6
1,啪手指,paak1 sau2 zi2
,秀泰,
,十常侍,sap6 soeng4 si6
,名信菸酒,
,齦膿腫,ngan4 nung4 zung2
,洋田客家,
,弼街口,
,鑽石時代,
1,柳葉眉,lau5 jip6 mei4
,諗巴溫,
,高瑞閣,
,嘉岶薈,
1,得鬼閒咩,
,宏如美食,
,瑞豐傢俱,
,翠竹園南,
1,鉛芯,jyun4 sam1
,遊艇灣,
,新絲賞,
1,勘探隊,ham3 taam3 deoi6
1,乜嘢唔識,
,熊彩五金,
,東橫,
,砭針,bin1 zam1
1,山鷚,saan1 lau6
,赤山紅木,
,安民坊,
,蠲減,gyun1 gaam2
,蜂王乳,fung1 wong4 jyu5
,龍興廣告,
,咩一起,
,㷫親,hing3 can1
,大業裏,
,靈川,ling4 cyun1
,府前路口,
,鶴藪水塘,
,方盈地產,
,家美衛浴,
,新雅時,
,褸錯人皮,lau1 co3 jan4 pei4
,永盛音響,
,絕緣片,
1,希伯萊文,hei1 baak3 loi4 man4
,低涌,
,黃師傅茶,
1,搭沉船,daap3 cam4 syun4
,光刻膠,gwong1 hak1 gaau1
,信豐縣,seon3 fung1 jyun6
,潮粵,
,基本點,gei1 bun2 dim2
,打保票,daa2 bou2 piu3
,三輒,
,師奶牌,si1 naai1 paai2
,奧司卡,
,鴻福小區,
,紫緣軒,
,壘固,leoi5 gu3
,華資數碼,
,雄意閣,
,汨水,mik6 seoi2
,興源建材,
1,荒淫無度,fong1 jam4 mou4 dou6
,青天電子,
,近頃,gan6 king2
,真寶堂,
,逃慌,tou4 fong1
1,義賣會,ji6 maai6 wui2
,元泰地產,
,華寶汽配,
1,走咁遠,
,牛大碗,
,擋郎,dong3 long4
,討吃,tou2 hek3
,豌豆府,
,死纈,sei2 lit3
,業漁,
,殺鼠藥,saat3 syu2 joek6
,忘八,mong4 baat3
,蠔殼洲,
,楊日霖,
,寶山鄉,bou2 saan1 hoeng1
,雅士空調,
1,精盡人亡,zing1 zeon6 jan4 mong4
1,痛深惡絕,tung3 sam1 wu3 zyut6
,拉㞎㞎,laai1 baa2 baa2
1,申訴書,san1 sou3 syu1
,朵蘭帝,
,江邊村委,
,華夏地產,
,後底嶺,
1,有神論,jau5 san4 leon6
,淨悟林,
,宣興糧油,
,中濠海鮮,
,韃靼海峽,taat3 daat3 hoi2 haap6
,花生肉,faa1 saang1 juk6
1,唔自量,m4 zi6 loeng6
,渝北區,jyu4 bak1 keoi1
,同康路東,
,黑虎潭,
,返炒牛肉,faan1 caau2 ngau4 juk6
,興業建材,
,鬱翠居,
,城建福華,
,立雪,laap6 syut3
,此言當真,
,凱豐氣體,
,洞神坊,
,夾針,
1,馮梁結,
,軸絲,zuk6 si1
,按著,
,夏埔圍,
,跳灰士,
,華通電氣,
,杜拉拉,
,友源士多,
,華安閣,
,小樣,siu2 joeng6
,金莊珠寶,
,民容路口,
,德勝補鞋,
,古柯鹼,gu2 o1 gaan2
1,嗌數,aai3 sou3
,大鏟洲,
,煮下,
,雄業電器,
1,最夜幾遲,
1,生眼挑針,
,謀刺,mau4 ci3
,菾菜,tim4 coi3
,威威炆鴨,
,大澳軍營,
,惠如家政,
,昂窩,
1,翹盼,kiu4 paan3
1,驚咩喎,
,提資,
,鑫源小吃,
,盈冠軟件,
,萬戶侯,maan6 wu6 hau4
,永好閣,
,河大塘,
,品善美食,
,伊莎艾倫,
1,豬嚟㗎,
,鑫源皮業,
,朋達通訊,
,講波箱,gong2 bo1 soeng1
,百源堂,
,柏蕾迪,
,側風,zak1 fung1
1,碎吟吟,seoi3 jam4 jam4
,木棉嶺,
,楓亭士多,
,媽灣油港,
,蝶歡花,
1,親密無間,can1 mat6 mou4 gaan3
,百合餅家,
,名優新,
,石壆圍,
,宜中時尚,
,疏闊,so1 fut3
,趣香餅家,
,清河出圖,
,宏程,
,脫機,tyut3 gei1
1,逃役,tou4 jik6
,挽額,waan5 ngaak6
,飄雪服飾,
,大興新邨,
1,支出費用,zi1 ceot1 fai3 jung6
,收斂性,sau1 lim5 sing3
,沒感情啦,
1,飲完嘢,
,環保軒,
,防寒服,fong4 hon4 fuk6
,龍山文化,lung4 saan1 man4 faa3
,官府菜,
1,嘆返下,
,手爽,sau2 song2
,海鷲,hoi2 zau6
1,訓練者,fan3 lin6 ze2
,錦萱,
,十涌,
,尾差,
,天鵞會,
,冰果撈,
1,你噉話佢,
,富茂傢俬,
,年棠閣,
,劃模工程,
,廣州惠科,
,刊誤表,hon2 ng6 biu2
,豬屎喳,zyu1 si2 zaa2
,馬尾港,maa5 mei5 gong2
1,卡類通信,
1,熟練工人,
,川木香,cyun1 muk6 hoeng1
,敕法佬,cik1 faat3 lou2
1,保安消防,
1,巴撚閉,baa1 lan2 bai3
,瀛森貿易,
,聚豪食家,
1,噉嘞,
,奔頭,ban1 tau4
,悟能,ng6 nang4
,歐適傢俱,
,東方高麗,
,雲偉石材,
,城口縣,sing4 hau2 jyun6
,良友士多,
,深聯地產,
1,便民利民,bin6 man4 lei6 man4
,標緻發線,
,快餐部,faai3 caan1 bou6
,唔湊米氣,m4 cau3 mai5 hei3
,東突組織,dung1 dat6 zou2 zik1
,稅名,
,丹坑,
,檢毒箱,gim2 duk6 soeng1
,石灘區,
,誠達印務,
,擀麪杖,gon2 min6 zoeng6
,屯門官立,
,萬靈節,maan6 ling4 zit3
,龍氏,
,準尉,
,海寧居,
,浪漫皮具,
,蘇枋木,sou1 fong1 muk6
,科力通訊,
,川府漁坊,
1,佛學界,fat1 hok6 gaai3
1,密西根州,mat6 sai1 gan1 zau1
,奢香,ce1 hoeng1
1,令壽堂,ling6 sau6 tong2
,美錦廣告,
,雞矢果,
,飽經憂患,baau2 ging1 jau1 waan6
,狎昵,haap6 nik1
1,依依郁郁,ji1 ji1 juk1 juk1
1,嘢埋我,je5 maai4 ngo5
,騰勝地產,
,旭日地產,
,冠譽,
,港城雲石,
1,公衆假期,gung1 zung3 gaa3 kei4
,萬家物業,
,鋼鐵俠,gong3 tit3 haap6
,恩施縣,jan1 si1 jyun6
,盛平公寓,
,麒香麪包,
,打繩街崗,
1,多多事幹,do1 do1 si6 gon3
,留門,lau4 mun4
1,凡俗,faan4 zuk6
,新街美食,
,車城鄉,ce1 sing4 hoeng1
,新作坡,
,癡線了,
,黃騰峽,
,高科門診,
,鬆樹排,
,永勝美食,
,執禾,zap1 wo2
,榮苑私廚,
,相對說來,
,河東路口,
,酸蘋果,
,隱居隆中,jan2 geoi1 lung4 zung1
,漂起,
1,抱佛腳,pou5 fat6 goek3
,蘇泊爾,
,爆磅,baau3 bong2
,華興鋼鐵,
,陀表,to4 biu1
,利時士多,
,站南路口,
,依語坊,
,青絲剪集,
,長江地產,
1,醫生膠布,ji1 sang1 gaau1 bou3
,寧邊,ning4 bin1
,富川縣,fu3 cyun1 jyun6
,鴻信廣告,
,好點解,
,萃寧居,
,神韻磁磚,
,金達旅業,
1,月偏蝕,jyut6 pin1 sik6
,南方貝貝,
1,純素食,seon4 sou3 sik6
,墩埔,
,堭龍企業,
,阿克倫,aa3 hak1 leon4
,料威音響,
,典雅灣,
,翠苑北郊,
,紙煤兒,zi2 mui4 ji4
,刀裏,
,薄瑞光,bok6 seoi6 gwong1
,硬掙,ngaang6 zaang6
1,佢係唔好,
1,劍鴴,gim3 hang4
,雲景軒,
,金洋地產,
,佑臣,
,華天鞋業,
,山門崗,
,相商,soeng1 soeng1
,扯談,ce2 taam4
1,磷灰粉,leon4 fui1 fan2
1,聊賴,liu4 laai6
,風檔玻璃,fung1 dong2 bo1 lei1
,新塘出口,
,勒逼,lak6 bik1
1,侵食,cam1 sik6
,銀海假日,
1,不隨意肌,bat1 ceoi4 ji3 gei1
1,泄洪,sit3 hung4
,司不薩納,
,都之都,
,麓湖閣,
,豬頭肥,
,友源,
,騰達牌業,
,賅括,goi1 kut3
1,對立統一,deoi3 laap6 tung2 jat1
,五月糉,
,無自費,
,未武裝,mei6 mou5 zong1
,莊宅,
,嘉園小區,
,弄短,lung6 dyun2
,殊致,syu4 zi3
,盧瑟福,lou4 sat1 fuk1
,八會穴,baat3 wui6 jyut6
,永升物業,
,德善裏,
,搭幫,daap3 bong1
,福樺橡膠,
,槎龍,
,天目商務,
,氣象臺,hei3 zoeng6 toi4
,盡地一舖,zeon6 dei2 jat1 pou1
1,揦起塊面,laa2 hei2 faai3 min6
,中田繪里,
,糖盒,
,新彩漁,
,金康閣,
,永前通信,
,火窯,fo2 jiu4
,休旅車,jau1 leoi5 ce1
,衆目昭彰,zung3 muk6 ciu1 zoeng1
,南浦橋南,
,興和南里,
1,方唔方便,
,京麗源,
,濠勝閣,
1,佢唔制,
,賽尼電子,
1,佢點講,
,東涌碼頭,
1,預期用途,jyu6 kei4 jung6 tou4
,限制酶,haan6 zai3 mui4
,恆香子,
,志誠眼鏡,
1,木木獨獨,muk6 muk6 duk6 duk6
,大廟坳,
,天元區,tin1 jyun4 keoi1
,絲母,si1 mou2
1,造岩礦物,zou6 ngaam4 kwong3 mat6
,鴻益,
,休閒小品,
,歃血爲盟,saap3 hyut3 wai4 mang4
,廣聯貨運,
1,飯後果,
,國威汽車,
,閘極,
1,歡呼雀躍,fun1 fu1 zoek3 joek6
,賊毛,caak6 mou1
,劉天華,lau4 tin1 waa4
,佳佳美食,
,南洋五金,
,惱恨,nou5 han6
,寶藝軒,
,堙沒,jan1 mut6
1,冠海雀,gun3 hoi2 zoek3
,中強玻璃,
,在阪田,
,東方燈飾,
,瑤之圃,jiu4 zi1 pou2
1,忌廉餅乾,gei6 lim1 beng2 gon1
,腰痠,
,溜鬚拍馬,lau6 sou1 paak3 maa5
,香港鐵倉,
1,對口型,deoi3 hau2 jing4
,福合埕,
1,情報統計,
,單姓,daan1 sing3
,合意皮鞋,
,利華美食,
1,吊槓,diu3 gong3
,飄飛,
,德成圍,
,火元,
,新洲出口,
,披頭士,pei1 tau4 si6
,塹口碼頭,
,元肉,
1,疑難問題,ji4 naan4 man6 tai4
1,話點就點,
,水口營,
,凌雜,ling4 zaap6
,快回到了,
,虛領,
,萃雲裏,
,局治賄辦,
,泰笠碰,
1,雲開見日,wan4 hoi1 gin3 jat6
1,火燒眉毛,fo2 siu1 mei4 mou4
,雅瑤塘,
,浮氣,fau4 hei3
,吉女,
,碰到過,
,邦凱,
,萬聯證券,
,南擔,
,天建國際,
,開發資源,
,桃源小區,
1,超大聲,
,四嶺,
,梅苑小區,
,擴展塢,kong3 zin2 wu2
1,規則化,kwai1 zak1 faa3
1,返五日工,
,燕麗亞,
,定弦,ding6 jin4
,弘國儀器,
,娜爾思,
,議事錄,ji5 si6 luk6
,阿萊曼,aa3 loi4 maan6
,鳳凰天地,
,上海弄堂,
,山仔河,
,華興帆蓬,
,誠達集團,
,四方臉,sei3 fong1 lim5
,蓋飯,goi3 faan6
,東昇飾品,
,完整了,
,蓮花西,
1,抄嘢,
,中海集團,
,津津士多,
,鰱魚嶺,
,川湘一家,
,深港海鮮,
1,碳原子,taan3 jyun4 zi2
,迪龍,
,快口,faai3 hau2
,華悅,
,蒼木麻衣,
,高卓藥業,
,雅視髮型,
,懊悔不已,ou3 fui3 bat1 ji5
,海林乾洗,
,柯小姐,
1,計下條數,gai3 haa5 tiu4 sou3
,體驗組,
,中訊電腦,
,灼生菜,
,字軌,zi6 gwai2
,帽扣,
,刺兒話,ci3 ji4 waa6
,喜人商貿,
,地三鮮,dei6 saam1 sin1
,竹鮫,zuk1 gaau1
,三合華僑,
,車臣氏,
1,臥薪嚐膽,ngo6 san1 soeng4 daam2
1,鋤草,co4 cou2
1,諸多事實,
,如新電腦,
,刮鏟,gwaat3 caan2
,東興陶瓷,
,丁甲嶺,
,精簡開支,zing1 gaan2 hoi1 zi1
,銀漢國際,
,泰康製藥,
,埋舟,maai4 zau1
,別有天地,bit6 jau5 tin1 dei6
1,我會㗎嘞,ngo5 wui5 gaa3 laak3
,徑跡,ging3 zik1
,民生集團,
1,死捱死做,sei2 ngaai4 sei2 zou6
,逸泉韻翠,
1,無人理我,
,棒界涌,
,四季堂,
,國安消防,
1,鬧轟轟,naau6 gwang1 gwang1
,凱源倉庫,
,違別,wai4 bit6
1,邊個咁衰,
